iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,27,222.62751,4845.1723,27,4845.1723,4845.1723,2423.5972,27,1,4.6172
20,27,165.210028,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,4.6848
30,27,122.600991,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,4.7781
40,27,90.981178,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,4.8768
50,27,67.516377,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,4.9817
60,27,50.103343,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,5.0924
70,27,37.181275,4673.3815,26,4673.3815,4673.3815,2336.4473,25,2,5.1855
80,27,27.591916,4673.3815,26,4673.3815,4673.3815,2336.4473,25,3,5.2987
90,27,20.475732,4673.3815,26,4673.3815,4673.3815,2336.4473,25,3,5.4083
100,27,15.194871,4673.3815,26,4673.3815,4673.3815,2336.4473,25,3,5.5389
110,27,11.275987,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,5.6507
120,27,8.367817,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,5.6972
130,27,6.209687,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,5.8473
140,27,4.608157,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,5.8913
150,27,3.419675,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,5.959
160,27,2.537713,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,6.041
170,27,1.883216,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,6.1593
180,27,1.397519,4673.3815,26,4673.3815,4148.9549,2065.7393,23,1,6.278
190,27,1.037087,4466.8436,25,4466.8436,4148.9549,2065.7393,23,1,6.3753
200,27,0.769614,4466.8436,25,4466.8436,4148.9549,2065.7393,23,1,6.4461
210,27,0.571124,4466.8436,25,4466.8436,4148.9549,2065.7393,23,1,6.6116
220,27,0.423826,4466.8436,25,4466.8436,4148.9549,2065.7393,23,1,6.7479
230,27,0.314518,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,6.8674
240,27,0.233401,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,6.9518
250,27,0.173205,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,7.0564
260,27,0.128534,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,7.1535
270,27,0.095384,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,7.2068
280,27,0.070784,4204.3122,23,4204.3122,4148.9549,2065.7393,23,1,7.3002
290,27,0.052528,4044.1642,22,4044.1642,4044.1642,2065.7393,22,2,7.3474
300,27,0.038981,4044.1642,22,4044.1642,4044.1642,2065.7393,22,2,7.4395
310,27,0.028927,3977.7308,22,3977.7308,3977.7308,2037.3639,22,1,7.5461
320,27,0.021467,3977.7308,22,3977.7308,3977.7308,2037.3639,22,1,7.6587
330,27,0.01593,3755.4002,21,3755.4002,3755.4002,1877.9753,21,1,7.7222
340,27,0.011822,3755.4002,21,3755.4002,3755.4002,1877.9753,21,1,7.8562
350,27,0.008773,3755.4002,21,3755.4002,3755.4002,1877.9753,21,1,7.9554
360,27,0.00651,3755.4002,21,3755.4002,3114.5208,1464.0865,18,1,8.04
370,27,0.004831,3755.4002,21,3755.4002,3114.5208,1464.0865,18,1,8.0729
380,27,0.003585,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.1727
390,27,0.002661,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.2882
400,27,0.001974,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.3536
410,27,0.001465,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.4021
420,27,0.001087,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.4825
430,27,0.000807,3312.091,19,3312.091,3114.5208,1464.0865,18,1,8.5559
440,27,0.000599,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,8.6719
450,27,0.000444,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,8.7416
460,27,0.00033,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,8.7949
470,27,0.000245,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,8.8674
480,27,0.000182,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,8.9915
490,27,0.000135,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,9.0911
500,27,0.0001,3311.7117,19,3311.7117,3114.5208,1464.0865,18,1,9.1384
10,26,222.62751,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.2069
20,26,165.210028,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.2885
30,26,122.600991,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.3535
40,26,90.981178,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.4498
50,26,67.516377,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.5804
60,26,50.103343,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.6465
70,26,37.181275,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.7246
80,26,27.591916,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.8083
90,26,20.475732,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,9.9252
100,26,15.194871,3311.7117,19,3311.7117,3311.7117,1590.4909,19,1,10.0196
110,26,11.275987,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.116
120,26,8.367817,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.202
130,26,6.209687,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.2892
140,26,4.608157,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.4245
150,26,3.419675,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.4977
160,26,2.537713,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.6068
170,26,1.883216,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.6327
180,26,1.397519,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.7073
190,26,1.037087,3311.7117,19,3311.7117,3311.7117,1590.4909,19,2,10.8071
