iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,5,149.626803,828.6651,5,828.6651,828.6651,341.2839,5,4,0.2324
20,5,111.9409,830.9047,5,828.6651,828.6651,341.2839,5,4,0.236
30,5,83.746795,828.6651,5,828.6651,828.6651,341.2839,5,4,0.2378
40,5,62.653826,835.4363,5,828.6651,828.6651,341.2839,5,4,0.241
50,5,46.873458,828.1716,5,828.1716,828.1716,340.736,5,5,0.2446
60,5,35.067628,828.1716,5,828.1716,828.1716,340.736,5,5,0.2486
70,5,26.235286,828.1716,5,828.1716,828.1716,340.736,5,10,0.2486
80,5,19.62751,828.1716,5,828.1716,828.1716,340.736,5,15,0.2547
90,5,14.684007,828.1716,5,828.1716,826.3024,340.736,5,24,0.261
100,5,10.985605,828.1716,5,828.1716,826.3024,340.736,5,32,0.2654
110,5,8.218705,828.1716,5,828.1716,826.3024,340.736,5,39,0.2691
120,5,6.148693,828.1716,5,828.1716,826.3024,340.736,5,43,0.272
130,5,4.600046,828.1716,5,828.1716,826.3024,340.736,5,51,0.2752
140,5,3.441451,828.1716,5,828.1716,826.3024,340.736,5,58,0.2806
150,5,2.574667,828.1716,5,828.1716,826.3024,340.736,5,65,0.2858
160,5,1.926196,828.1716,5,828.1716,826.3024,340.736,5,72,0.2934
170,5,1.441052,828.1716,5,828.1716,826.3024,339.9739,5,1,0.2981
180,5,1.0781,828.1716,5,828.1716,826.3024,339.9739,5,1,0.2981
190,5,0.806564,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3038
200,5,0.603418,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3049
210,5,0.451437,828.1716,5,828.1716,826.3024,339.9739,5,1,0.312
220,5,0.337736,828.1716,5,828.1716,826.3024,339.9739,5,1,0.314
230,5,0.252671,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3192
240,5,0.189032,828.1716,5,828.1716,826.3024,339.9739,5,1,0.324
250,5,0.141421,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3276
260,5,0.105802,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3302
270,5,0.079154,828.1716,5,828.1716,826.3024,339.9739,5,1,0.336
280,5,0.059218,828.1716,5,828.1716,826.3024,339.9739,5,1,0.336
290,5,0.044303,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3439
300,5,0.033145,828.1716,5,828.1716,826.3024,339.9739,5,1,0.35
310,5,0.024797,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3537
320,5,0.018551,828.1716,5,828.1716,826.3024,339.9739,5,1,0.3586
330,5,0.013879,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3637
340,5,0.010383,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3674
350,5,0.007768,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3724
360,5,0.005812,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3754
370,5,0.004348,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3803
380,5,0.003253,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3803
390,5,0.002433,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3896
400,5,0.001821,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3947
410,5,0.001362,828.1716,5,828.1716,825.2659,339.9739,5,2,0.3982
420,5,0.001019,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4038
430,5,0.000762,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4081
440,5,0.00057,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4141
450,5,0.000427,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4156
460,5,0.000319,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4216
470,5,0.000239,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4267
480,5,0.000179,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4317
490,5,0.000134,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4357
500,5,0.0001,828.1716,5,828.1716,825.2659,339.9739,5,2,0.4408
10,4,149.626803,828.1716,5,828.1716,828.1716,340.736,5,1,0.4435
20,4,111.9409,828.1716,5,828.1716,828.1716,340.736,5,1,0.4479
30,4,83.746795,828.1716,5,828.1716,828.1716,340.736,5,1,0.4526
40,4,62.653826,828.1716,5,828.1716,828.1716,340.736,5,1,0.4548
50,4,46.873458,828.1716,5,828.1716,828.1716,340.736,5,1,0.4584
60,4,35.067628,828.1716,5,828.1716,828.1716,340.736,5,1,0.461
70,4,26.235286,828.1716,5,828.1716,828.1716,340.736,5,1,0.4641
80,4,19.62751,828.1716,5,828.1716,828.1716,340.736,5,1,0.4683
90,4,14.684007,828.1716,5,828.1716,828.1716,340.736,5,1,0.4719
100,4,10.985605,828.1716,5,828.1716,828.1716,340.736,5,1,0.4754
110,4,8.218705,828.1716,5,828.1716,828.1716,340.736,5,1,0.4754
120,4,6.148693,828.1716,5,828.1716,828.1716,340.736,5,1,0.4804
130,4,4.600046,828.1716,5,828.1716,828.1716,340.736,5,1,0.4861
140,4,3.441451,828.1716,5,828.1716,828.1716,340.736,5,1,0.4861
150,4,2.574667,828.1716,5,828.1716,828.1716,340.736,5,1,0.4911
160,4,1.926196,828.1716,5,828.1716,828.1716,340.736,5,1,0.4947
170,4,1.441052,828.1716,5,828.1716,828.1716,340.736,5,1,0.4982
180,4,1.0781,828.1716,5,828.1716,828.1716,340.736,5,1,0.504
190,4,0.806564,828.1716,5,828.1716,828.1716,340.736,5,1,0.5071
200,4,0.603418,828.1716,5,828.1716,828.1716,340.736,5,1,0.5107
210,4,0.451437,828.1716,5,828.1716,828.1716,340.736,5,1,0.5138
220,4,0.337736,828.1716,5,828.1716,828.1716,340.736,5,1,0.5192
230,4,0.252671,828.1716,5,828.1716,828.1716,340.736,5,1,0.5238
240,4,0.189032,828.1716,5,828.1716,828.1716,340.736,5,1,0.5258
250,4,0.141421,828.1716,5,828.1716,828.1716,340.736,5,1,0.5322
260,4,0.105802,828.1716,5,828.1716,828.1716,340.736,5,1,0.5357
270,4,0.079154,828.1716,5,828.1716,828.1716,340.736,5,1,0.5378
280,4,0.059218,828.1716,5,828.1716,828.1716,340.736,5,1,0.5418
290,4,0.044303,828.1716,5,828.1716,828.1716,340.736,5,1,0.5445
300,4,0.033145,828.1716,5,828.1716,828.1716,340.736,5,1,0.5481
310,4,0.024797,828.1716,5,828.1716,828.1716,340.736,5,1,0.5535
320,4,0.018551,828.1716,5,828.1716,828.1716,340.736,5,1,0.555
330,4,0.013879,828.1716,5,828.1716,828.1716,340.736,5,1,0.5581
340,4,0.010383,828.1716,5,828.1716,828.1716,340.736,5,1,0.5642
350,4,0.007768,828.1716,5,828.1716,828.1716,340.736,5,1,0.5673
360,4,0.005812,828.1716,5,828.1716,828.1716,340.736,5,1,0.5718
370,4,0.004348,828.1716,5,828.1716,828.1716,340.736,5,1,0.5738
