iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,14,149.626803,2333.5229,14,2333.5229,2317.4458,1060.4867,14,1,1.2519
20,14,111.9409,2333.5229,14,2333.5229,2317.4458,1060.4867,14,1,1.2726
30,14,83.746795,2333.5229,14,2333.5229,2317.4458,1060.4867,14,1,1.2966
40,14,62.653826,2333.5229,14,2333.5229,2317.4458,1060.4867,14,1,1.3252
50,14,46.873458,2333.5229,14,2333.5229,2317.4458,1060.4867,14,1,1.3485
60,14,35.067628,2335.2841,14,2333.5229,2317.4458,1060.4867,14,1,1.363
70,14,26.235286,2335.2841,14,2333.5229,2317.4458,1060.4867,14,1,1.3849
80,14,19.62751,2335.2841,14,2333.5229,2317.4458,1060.4867,14,1,1.403
90,14,14.684007,2335.2841,14,2333.5229,2317.4458,1058.9505,14,2,1.4228
100,14,10.985605,2335.2841,14,2333.5229,2317.4458,1058.9505,14,2,1.444
110,14,8.218705,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.4687
120,14,6.148693,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.4961
130,14,4.600046,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.5271
140,14,3.441451,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.5609
150,14,2.574667,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.5827
160,14,1.926196,2333.5229,14,2333.5229,2317.4458,1058.9505,14,2,1.6071
170,14,1.441052,2222.4193,13,2222.4193,2222.4193,1058.9505,13,4,1.6324
180,14,1.0781,2222.4193,13,2222.4193,2222.4193,1058.9505,13,4,1.6585
190,14,0.806564,2222.4193,13,2222.4193,2222.4193,1058.9505,13,4,1.6884
200,14,0.603418,2222.4193,13,2222.4193,2222.4193,1058.9505,13,4,1.7092
210,14,0.451437,2222.4193,13,2222.4193,2222.4193,1058.9505,13,4,1.7317
220,14,0.337736,2222.4193,13,2222.4193,2222.4193,1058.9505,13,5,1.7512
230,14,0.252671,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.774
240,14,0.189032,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.7929
250,14,0.141421,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.8097
260,14,0.105802,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.8327
270,14,0.079154,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.8615
280,14,0.059218,2222.4193,13,2222.4193,2206.4137,1047.4614,13,1,1.8974
290,14,0.044303,2222.4193,13,2222.4193,2206.4137,1047.4614,13,2,1.9129
