TC_min,TT_min,NV_min,TC_at_minNV,TT_at_minNV,NV,TC_avg,TT_avg,NV_avg,pareto_size,computing_time_s,run,instance
825.0717,449.8545,4,825.0717,449.8545,4,825.0717,449.8545,4.0,8,0.7966,1,RC20_100
2001.5928,1098.993,10,2001.5928,1098.993,10,2001.5928,1098.993,10.0,5,4.1539,1,RC40_100
2612.1233,1400.9609,13,2612.1233,1400.9609,13,2612.1233,1400.9609,13.0,1,68.8552,1,RC60_100
3912.0656,2024.6255,21,3912.0656,2024.6255,21,3912.0656,2024.6255,21.0,5,218.2923,1,RC80_100
