iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,74,367.274355,12827.2113,74,12827.2113,12827.2113,6064.2992,74,1,37.5741
20,74,269.780903,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,38.2731
30,74,198.167214,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,39.0948
40,74,145.563471,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,39.8198
50,74,106.92346,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,40.1016
60,74,78.54049,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,40.6627
70,74,57.691815,12827.2113,74,12827.2113,11672.7275,5406.5874,68,1,41.6832
80,74,42.377448,12048.0542,68,12048.0542,11672.7275,5406.5874,68,1,42.193
90,74,31.1283,12048.0542,68,12048.0542,11476.3252,5406.5874,63,2,42.7118
100,74,22.865253,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,43.0821
110,74,16.795642,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,43.6036
120,74,12.337217,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,44.1611
130,74,9.062287,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,44.8474
140,74,6.656691,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,45.6613
150,74,4.889664,11039.8486,64,11039.8486,11039.8486,5150.815,63,2,46.6361
160,74,3.591696,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,47.3383
170,74,2.638276,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,47.9945
180,74,1.937942,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,48.6107
190,74,1.423513,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,49.3616
200,74,1.04564,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,49.9091
210,74,0.768073,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,50.3652
220,74,0.564187,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,51.019
230,74,0.414423,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,51.2931
240,74,0.304414,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,51.9626
250,74,0.223607,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,52.5444
260,74,0.16425,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,53.1779
270,74,0.12065,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,53.658
280,74,0.088623,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,53.8956
290,74,0.065098,11039.8486,64,11039.8486,10238.7419,4684.1585,60,1,54.4226
