iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,6,149.626803,1087.5668,6,1087.5668,1080.0435,535.8762,6,1,0.2196
20,6,111.9409,1087.5668,6,1087.5668,1079.326,532.5817,6,1,0.2245
30,6,83.746795,1087.5668,6,1087.5668,1079.326,532.5817,6,1,0.2308
40,6,62.653826,1155.3525,6,1087.5668,1079.326,532.5817,6,1,0.2351
50,6,46.873458,1100.3704,6,1087.5668,1079.326,532.5817,6,1,0.2389
60,6,35.067628,1089.5549,6,1087.5668,1079.326,532.5817,6,1,0.2441
70,6,26.235286,1087.5668,6,1087.5668,1079.326,532.5817,6,1,0.2492
80,6,19.62751,1087.5668,6,1087.5668,1079.326,532.5817,6,1,0.2528
90,6,14.684007,1087.5668,6,1087.5668,1074.7289,532.5817,6,3,0.2583
100,6,10.985605,1087.5668,6,1087.5668,1074.7289,532.5817,6,3,0.2629
110,6,8.218705,1087.5668,6,1087.5668,1074.7289,532.5817,6,3,0.2667
120,6,6.148693,1087.5668,6,1087.5668,1074.7289,532.5817,6,3,0.2703
130,6,4.600046,1087.5668,6,1087.5668,1074.7289,532.5817,6,4,0.2765
140,6,3.441451,1087.5668,6,1087.5668,1074.7289,532.5817,6,4,0.2803
150,6,2.574667,1087.5668,6,1087.5668,1074.7289,532.5817,6,4,0.2887
160,6,1.926196,1087.5668,6,1087.5668,1074.7289,532.5817,6,4,0.2924
170,6,1.441052,1087.5668,6,1087.5668,1074.7289,532.5817,6,4,0.3001
180,6,1.0781,1087.5668,6,1087.5668,1074.7289,529.9342,6,1,0.3058
190,6,0.806564,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3097
200,6,0.603418,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3158
210,6,0.451437,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3194
220,6,0.337736,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3243
230,6,0.252671,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3263
240,6,0.189032,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.33
250,6,0.141421,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3352
260,6,0.105802,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3385
270,6,0.079154,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3421
280,6,0.059218,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3474
290,6,0.044303,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.349
300,6,0.033145,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.354
310,6,0.024797,1087.5668,6,1087.5668,1071.8027,521.269,6,1,0.3582
320,6,0.018551,1075.9319,6,1075.9319,1071.8027,521.269,6,1,0.3634
330,6,0.013879,1065.3319,6,1065.3319,937.7108,495.3264,5,1,0.3659
340,6,0.010383,1065.3319,6,1065.3319,937.7108,495.3264,5,1,0.3715
350,6,0.007768,1065.3319,6,1065.3319,937.7108,495.3264,5,1,0.3745
360,6,0.005812,1065.3319,6,1065.3319,937.7108,495.3264,5,2,0.3801
370,6,0.004348,1065.3319,6,1065.3319,937.7108,495.3264,5,2,0.3852
380,6,0.003253,989.983,5,989.983,937.7108,495.3264,5,2,0.3879
390,6,0.002433,942.7122,5,942.7122,930.0119,492.1688,5,1,0.3922
400,6,0.001821,942.7122,5,942.7122,930.0119,492.1688,5,3,0.3973
410,6,0.001362,942.7122,5,942.7122,930.0119,492.1688,5,4,0.4026
420,6,0.001019,942.7122,5,942.7122,930.0119,492.1688,5,5,0.4052
430,6,0.000762,942.7122,5,942.7122,930.0119,492.1688,5,5,0.4105
440,6,0.00057,942.7122,5,942.7122,930.0119,492.1688,5,5,0.4137
