iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
2,72,2126.076218,27077.7223,72,27077.7223,27077.7223,20341.2232,72,2,756.5992
4,72,1506.733362,27077.7152,72,27077.7152,27077.7152,20339.911,72,1,757.0275
6,72,1067.80999,27089.7704,72,27077.7152,27077.7152,20339.911,72,1,773.0237
8,72,756.748475,27089.7704,72,27077.7152,27077.7152,20339.911,72,1,773.4085
10,72,536.301645,27089.7704,72,27077.7152,27077.7152,20339.911,72,1,773.7976
12,72,380.072725,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,790.942
14,72,269.354527,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,791.3258
16,72,190.889418,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,792.1059
18,72,135.281817,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,792.127
20,72,95.873152,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,792.4936
22,72,67.944542,27087.952,72,27077.7152,27077.7152,20320.9886,72,2,792.5151
24,72,48.151759,27084.874,72,27077.7152,27077.7152,20320.9886,72,3,809.511
26,72,34.12477,27084.874,72,27077.7152,27077.7152,20320.9886,72,3,809.9041
28,72,24.183954,26997.2823,72,26997.2823,26997.2823,20170.5008,72,1,825.8975
30,72,17.138976,26962.7812,72,26962.7812,26962.7812,20157.8049,72,1,843.2395
32,72,12.146257,26959.114,72,26959.114,26959.114,20154.5338,72,1,860.0235
34,72,8.607956,26951.2247,72,26951.2247,26951.2247,20154.5338,72,2,876.6259
36,72,6.10039,26904.3646,72,26904.3646,26904.3646,20130.8551,72,1,893.7361
38,72,4.323298,26902.2802,72,26902.2802,26902.2802,20116.7539,72,2,911.3088
40,72,3.063887,26899.5295,72,26899.5295,26899.5295,20116.7539,72,2,927.6052
42,72,2.171352,26722.7636,72,26722.7636,26722.7636,19923.2375,72,1,944.6445
44,72,1.53882,26722.7636,72,26722.7636,26722.7636,19923.2375,72,1,945.0178
46,72,1.09055,26722.7636,72,26722.7636,26722.7636,19923.2375,72,1,945.3896
48,72,0.772864,26691.5797,72,26691.5797,26691.5797,19899.5637,72,1,963.2085
50,72,0.547723,26392.0867,71,26392.0867,26392.0867,19644.9659,71,1,996.9239
52,72,0.388167,26392.0867,71,26392.0867,26392.0867,19644.9659,71,1,997.7234
54,72,0.275091,26392.0867,71,26392.0867,26392.0867,19644.9659,70,2,1014.0751
56,72,0.194955,26392.0867,71,26392.0867,26392.0867,19644.9659,70,2,1028.8168
58,72,0.138163,26392.0867,71,26392.0867,26392.0867,19644.9659,70,2,1028.8381
60,72,0.097915,26390.3016,71,26390.3016,26390.3016,19643.3718,70,2,1061.2335
62,72,0.069391,26385.3044,71,26385.3044,26385.3044,19590.0705,70,2,1077.4475
64,72,0.049177,26286.6917,71,26286.6917,26286.6917,19480.4406,70,2,1111.8256
66,72,0.034851,26168.267,71,26168.267,26168.267,19451.8814,70,2,1125.2493
68,72,0.024699,26168.267,71,26168.267,26168.267,19451.8814,70,2,1125.6057
70,72,0.017504,26142.8391,71,26142.8391,26142.8391,19424.6501,70,2,1142.5052
72,72,0.012405,26142.8391,71,26142.8391,26142.8391,19424.6501,70,4,1159.9085
74,72,0.008791,26142.8391,71,26142.8391,26142.8391,19424.6501,70,4,1159.9255
76,72,0.00623,26142.8391,71,26142.8391,26142.8391,19424.6501,70,4,1159.9492
78,72,0.004415,26140.9882,71,26140.9882,26140.9882,19422.3861,70,2,1176.9493
80,72,0.003129,25736.8057,70,25736.8057,25736.8057,19149.6811,70,1,1192.6492
82,72,0.002218,25736.8057,70,25736.8057,25736.8057,19149.6811,70,2,1210.0716
84,72,0.001572,25736.8057,70,25736.8057,25736.8057,19149.6811,69,3,1225.3368
86,72,0.001114,25736.8057,70,25736.8057,25736.8057,19149.6811,69,3,1226.0751
88,72,0.000789,25736.8057,70,25736.8057,25736.8057,19149.6811,69,3,1226.4543
90,72,0.000559,25736.8057,70,25736.8057,25736.8057,19149.6811,69,3,1226.475
92,72,0.000396,25736.8057,70,25736.8057,25736.8057,19149.6811,69,4,1242.9911
94,72,0.000281,25730.192,70,25730.192,25730.192,19143.1068,69,2,1274.9653
96,72,0.000199,25601.5085,69,25601.5085,25601.5085,19114.4581,69,2,1309.3056
