iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,5,149.626803,1011.7763,5,1011.7763,832.9682,473.3897,4,1,0.2225
20,5,111.9409,1011.7763,5,1011.7763,832.9682,473.3897,4,2,0.225
30,5,83.746795,1011.7763,5,1011.7763,832.9682,473.3897,4,3,0.229
40,5,62.653826,1011.7763,5,1011.7763,832.9682,473.3897,4,3,0.2335
50,5,46.873458,1011.7763,5,1011.7763,832.9682,473.3897,4,5,0.2365
60,5,35.067628,1011.7763,5,1011.7763,832.9682,473.3897,4,7,0.2411
70,5,26.235286,1011.7763,5,1011.7763,832.9682,473.3897,4,8,0.2441
80,5,19.62751,1009.7693,5,1009.7693,832.9682,473.3897,4,8,0.2481
90,5,14.684007,1009.7693,5,1009.7693,825.0717,452.3846,4,1,0.2526
100,5,10.985605,1009.7693,5,1009.7693,825.0717,452.3846,4,1,0.2551
110,5,8.218705,1009.7693,5,1009.7693,825.0717,452.3846,4,1,0.2587
120,5,6.148693,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2632
130,5,4.600046,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2673
140,5,3.441451,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2714
150,5,2.574667,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2749
160,5,1.926196,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2785
170,5,1.441052,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2821
180,5,1.0781,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2846
190,5,0.806564,1009.7693,5,1009.7693,825.0717,449.8545,4,1,0.2871
200,5,0.603418,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.2918
210,5,0.451437,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.2968
220,5,0.337736,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3015
230,5,0.252671,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3045
240,5,0.189032,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3077
250,5,0.141421,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3119
260,5,0.105802,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3174
270,5,0.079154,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3229
280,5,0.059218,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3275
290,5,0.044303,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3321
300,5,0.033145,1009.7693,5,1009.7693,825.0717,449.8545,4,2,0.3376
310,5,0.024797,1009.7693,5,1009.7693,825.0717,449.8545,4,3,0.3412
320,5,0.018551,1009.7693,5,1009.7693,825.0717,449.8545,4,3,0.3457
330,5,0.013879,1009.7693,5,1009.7693,825.0717,449.8545,4,3,0.3487
340,5,0.010383,1009.7693,5,1009.7693,825.0717,449.8545,4,3,0.3532
350,5,0.007768,1009.7693,5,1009.7693,825.0717,449.8545,4,3,0.3572
360,5,0.005812,1009.7693,5,1009.7693,825.0717,449.8545,4,4,0.3622
370,5,0.004348,1009.7693,5,1009.7693,825.0717,449.8545,4,4,0.3675
380,5,0.003253,1009.7693,5,1009.7693,825.0717,449.8545,4,4,0.372
390,5,0.002433,1009.7693,5,1009.7693,825.0717,449.8545,4,5,0.376
400,5,0.001821,1009.7693,5,1009.7693,825.0717,449.8545,4,6,0.3811
410,5,0.001362,1009.7693,5,1009.7693,825.0717,449.8545,4,6,0.3858
420,5,0.001019,1009.7693,5,1009.7693,825.0717,449.8545,4,7,0.39
430,5,0.000762,1009.7693,5,1009.7693,825.0717,449.8545,4,7,0.3942
440,5,0.00057,1009.7693,5,1009.7693,825.0717,449.8545,4,7,0.3983
450,5,0.000427,1009.7693,5,1009.7693,825.0717,449.8545,4,7,0.4016
