iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
2,104,2818.504883,50208.6438,104,50208.6438,50208.6438,41039.7385,104,1,1823.502
4,104,1985.992443,50208.6438,104,50208.6438,50208.6438,41039.7385,104,1,1868.8845
6,104,1399.38235,50168.1572,104,50168.1572,50168.1572,40997.0546,104,1,1920.4002
8,104,986.041496,50216.4639,104,50168.1572,50168.1572,40997.0546,104,1,1921.2486
10,104,694.790693,50216.4639,104,50168.1572,50168.1572,40997.0546,104,1,1971.916
12,104,489.56774,50216.4639,104,50168.1572,50168.1572,40997.0546,104,1,2025.1811
14,104,344.962266,50216.4639,104,50168.1572,50168.1572,40997.0546,104,1,2026.0925
16,104,243.069458,48714.2164,104,48714.2164,48714.2164,39688.2682,104,1,2070.1583
18,104,171.273114,48617.8755,103,48617.8755,48617.8755,39632.9567,103,1,2123.1581
20,104,120.683527,48654.7978,102,48617.8755,48617.8755,39632.9567,102,2,2222.7819
22,104,85.036777,47876.2905,100,47876.2905,47876.2905,38992.9907,100,1,2224.3942
24,104,59.919143,47924.5376,100,47876.2905,47876.2905,38992.9907,100,1,2274.9081
26,104,42.220599,47924.5376,100,47876.2905,47876.2905,38992.9907,100,1,2275.7354
28,104,29.749741,47589.2888,100,47589.2888,47589.2888,38654.4452,100,1,2276.6604
30,104,20.962448,47235.2224,100,47235.2224,47235.2224,38246.0224,100,1,2379.7987
32,104,14.77069,47235.2224,100,47235.2224,47235.2224,38246.0224,99,2,2380.6477
34,104,10.407816,46989.2008,100,46989.2008,46989.2008,38096.5886,99,2,2382.3531
36,104,7.33362,46611.3962,99,46611.3962,46611.3962,37818.3067,99,1,2481.2175
38,104,5.167461,46611.3962,99,46611.3962,46611.3962,37818.3067,99,1,2481.963
40,104,3.641128,46611.3962,99,46611.3962,46611.3962,37818.3067,98,2,2482.6516
42,104,2.565635,46611.3962,99,46611.3962,46611.3962,37818.3067,98,2,2533.7043
44,104,1.807813,46533.3031,99,46533.3031,46533.3031,37633.3196,98,2,2586.2794
46,104,1.273833,46053.6369,98,46053.6369,46053.6369,37155.0086,98,1,2587.9971
48,104,0.897576,45352.0729,96,45352.0729,45352.0729,36590.7419,96,1,2641.2246
50,104,0.632456,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2694.977
52,104,0.445645,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2695.0181
54,104,0.314013,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2695.9599
56,104,0.221262,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2696.8098
58,104,0.155907,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2789.4948
60,104,0.109856,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2841.365
62,104,0.077407,45092.2933,96,45092.2933,45092.2933,36397.211,96,1,2842.1618
64,104,0.054543,45042.8665,96,45042.8665,45042.8665,36355.3906,96,1,2947.4196
66,104,0.038433,45042.8665,96,45042.8665,45042.8665,36355.3906,96,1,2999.161
68,104,0.027081,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3100.4905
70,104,0.019082,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3101.2737
72,104,0.013445,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3102.8412
74,104,0.009474,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3102.886
76,104,0.006676,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3103.7417
78,104,0.004704,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3105.3339
80,104,0.003314,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3106.1721
82,104,0.002335,44967.1222,96,44967.1222,44967.1222,36301.0521,96,1,3106.2221
84,104,0.001646,44967.1222,96,44967.1222,44966.0309,36301.0521,96,2,3157.9693
86,104,0.00116,44967.1222,96,44967.1222,44966.0309,36301.0521,96,2,3210.1096
88,104,0.000817,44946.9487,96,44946.9487,44946.9487,36276.3256,96,1,3264.8693
90,104,0.000576,44932.3159,96,44932.3159,44932.3159,36269.8265,96,1,3266.5439
92,104,0.000406,44932.3159,96,44932.3159,44932.3159,36269.8265,96,1,3266.5879
94,104,0.000286,44932.3159,96,44932.3159,44932.3159,36269.8265,96,1,3267.4241
96,104,0.000201,44932.3159,96,44932.3159,44932.3159,36269.8265,96,1,3318.4463
98,104,0.000142,44923.7313,96,44923.7313,44923.7313,36269.8265,96,2,3370.2286
100,104,0.0001,44908.5339,96,44908.5339,44908.5339,36265.6335,96,1,3425.615
2,103,2818.504883,45198.2834,96,44908.5339,44908.5339,36265.6335,96,1,3426.4628
4,103,1985.992443,45198.2834,96,44908.5339,44908.5339,36265.6335,96,1,3472.4541
6,103,1399.38235,46075.806,97,44908.5339,44908.5339,36265.6335,96,1,3524.4869
