iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,12,149.626803,2405.2643,12,2405.2643,2198.7872,1206.9263,11,1,1.423
20,12,111.9409,2405.2643,12,2405.2643,2198.7872,1206.9263,11,1,1.4356
30,12,83.746795,2405.2643,12,2405.2643,2198.7872,1206.9263,11,1,1.4482
40,12,62.653826,2405.2643,12,2405.2643,2198.7872,1206.9263,11,2,1.4646
50,12,46.873458,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.4901
60,12,35.067628,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.5125
70,12,26.235286,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.5442
80,12,19.62751,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.559
90,12,14.684007,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.5848
100,12,10.985605,2405.2643,12,2405.2643,2198.7872,1206.9263,11,3,1.5985
110,12,8.218705,2405.2643,12,2405.2643,2198.7872,1206.9263,11,4,1.6241
120,12,6.148693,2406.9017,12,2405.2643,2198.7872,1206.9263,11,5,1.642
130,12,4.600046,2406.9017,12,2405.2643,2198.7872,1206.9263,11,5,1.6617
140,12,3.441451,2406.9017,12,2405.2643,2198.7872,1206.9263,11,5,1.6845
150,12,2.574667,2406.9017,12,2405.2643,2198.7872,1202.2686,11,6,1.7002
160,12,1.926196,2406.9017,12,2405.2643,2198.7872,1202.2686,11,6,1.7215
170,12,1.441052,2405.2643,12,2405.2643,2198.7872,1202.2686,11,6,1.7524
180,12,1.0781,2405.2643,12,2405.2643,2198.7872,1202.2686,11,8,1.7775
190,12,0.806564,2405.2643,12,2405.2643,2198.7872,1202.2686,11,8,1.7968
200,12,0.603418,2405.2643,12,2405.2643,2198.7872,1202.2686,11,8,1.8176
210,12,0.451437,2405.2643,12,2405.2643,2198.7872,1202.2686,11,10,1.8321
220,12,0.337736,2405.2643,12,2405.2643,2198.7872,1202.2686,11,11,1.8529
230,12,0.252671,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,1.8817
240,12,0.189032,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,1.8984
250,12,0.141421,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,1.9191
260,12,0.105802,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,1.9367
270,12,0.079154,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,1.9681
280,12,0.059218,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,2.0003
290,12,0.044303,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,2.0189
300,12,0.033145,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,2.0448
310,12,0.024797,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,2.0642
320,12,0.018551,2405.2643,12,2405.2643,2198.7872,1202.2686,11,2,2.0838
