TC_min,TT_min,NV_min,TC_at_minNV,TT_at_minNV,NV,TC_avg,TT_avg,NV_avg,pareto_size,computing_time_s,run,instance
825.2659,339.9739,5,826.3024,339.9739,5,825.7842,339.987,5.0,2,0.6269,1,C20_100
2015.5081,904.4134,12,2015.5081,904.4134,12,2015.5081,904.4134,12.0,58,3.6114,1,C40_100
2367.7116,1048.3688,14,2367.7116,1048.3688,14,2367.7116,1048.3688,14.0,2,65.4038,1,C60_100
5447.898,2377.9304,32,5447.898,2517.232,32,5452.9946,2412.7558,32.75,4,111.8707,1,C80_100
5170.736,2391.7947,30,5170.736,2391.7947,30,5170.736,2391.7947,30.0,1,1140.5919,1,C100_100
