iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
2,24,724.43596,6062.2219,24,6062.2219,6062.2219,3789.4846,24,1,21.5662
4,24,524.80746,6062.2219,24,6062.2219,6062.2219,3789.4846,24,2,22.2839
6,24,380.189396,6129.876,24,6062.2219,6062.2219,3789.4846,24,2,22.3342
8,24,275.42287,6129.876,24,6062.2219,6062.2219,3789.4846,24,2,23.1192
10,24,199.526231,6128.2258,24,6062.2219,6062.2219,3789.4846,24,2,23.8442
12,24,144.543977,6128.2258,24,6062.2219,6062.2219,3789.4846,24,2,24.5807
14,24,104.712855,6128.2258,24,6062.2219,6062.2219,3789.4846,24,2,25.3049
16,24,75.857758,6128.2258,24,6062.2219,6062.2219,3789.4846,24,2,25.4047
18,24,54.954087,6128.2258,24,6062.2219,6062.2219,3789.4846,24,2,26.9156
20,24,39.810717,6103.9145,24,6062.2219,6062.2219,3789.4846,24,2,27.6913
22,24,28.840315,6102.062,24,6062.2219,6062.2219,3789.4846,24,2,28.4442
24,24,20.892961,6102.0433,24,6062.2219,6062.2219,3789.4846,24,2,29.2392
26,24,15.135612,6102.0433,24,6062.2219,6062.2219,3789.4846,24,2,30.0501
28,24,10.964782,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.1
30,24,7.943282,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.1049
32,24,5.754399,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.1501
34,24,4.168694,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.2491
36,24,3.019952,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.3002
38,24,2.187762,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.3503
40,24,1.584893,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,30.4467
42,24,1.148154,6100.7691,24,6062.2219,6062.2219,3789.4846,24,2,31.2193
44,24,0.831764,6100.7059,24,6062.2219,6062.2219,3789.4846,24,2,32.7029
46,24,0.60256,6091.4301,24,6062.2219,6062.2219,3789.4846,24,2,33.4336
48,24,0.436516,6091.4301,24,6062.2219,6062.2219,3789.4846,24,2,34.1392
50,24,0.316228,6090.3312,24,6062.2219,6062.2219,3789.4846,24,2,35.6393
52,24,0.229087,6090.3312,24,6062.2219,6062.2219,3789.4846,24,2,35.6859
54,24,0.165959,6090.3312,24,6062.2219,6062.2219,3789.4846,24,2,35.7362
56,24,0.120226,6090.3312,24,6062.2219,6062.2219,3789.4846,24,2,36.5517
58,24,0.087096,6076.92,24,6062.2219,6062.2219,3789.4846,24,2,37.2595
60,24,0.063096,6076.92,24,6062.2219,6062.2219,3789.4846,24,2,37.2623
62,24,0.045709,6076.92,24,6062.2219,6062.2219,3789.4846,24,2,37.3106
64,24,0.033113,6076.92,24,6062.2219,6062.2219,3789.4846,24,2,38.0976
66,24,0.023988,6043.9072,24,6043.9072,6043.9072,3754.3546,24,1,38.811
68,24,0.017378,6043.9072,24,6043.9072,6043.9072,3754.3546,24,1,38.8593
70,24,0.012589,6042.9841,24,6042.9841,6042.9841,3753.327,24,1,39.6303
72,24,0.00912,5998.6544,24,5998.6544,5998.6544,3734.9098,24,1,39.6782
74,24,0.006607,5823.8188,23,5823.8188,5823.8188,3670.621,23,1,40.45
76,24,0.004786,5822.0407,23,5822.0407,5822.0407,3666.0775,23,1,41.2317
